Date,Close
2024-01-01,100.0
2024-01-02,100.5
2024-01-03,101.0
2024-01-04,101.5
2024-01-05,102.0
2024-01-06,102.5
2024-01-07,103.0
2024-01-08,101.4
2024-01-09,101.9
2024-01-10,102.4
2024-01-11,102.9
2024-01-12,103.4
2024-01-13,103.9
2024-01-14,104.4
2024-01-15,102.8
2024-01-16,103.3
2024-01-17,103.8
2024-01-18,104.3
2024-01-19,104.8
2024-01-20,105.3
2024-01-21,105.8
2024-01-22,104.2
2024-01-23,104.7
2024-01-24,105.2
2024-01-25,105.7
2024-01-26,106.2
2024-01-27,106.7
2024-01-28,107.2
2024-01-29,105.6
2024-01-30,106.1
2024-01-31,106.6
2024-02-01,107.1
2024-02-02,107.6
2024-02-03,108.1
2024-02-04,108.6
2024-02-05,107.0
2024-02-06,107.5
2024-02-07,108.0
2024-02-08,108.5
2024-02-09,109.0
2024-02-10,109.5
2024-02-11,110.0
2024-02-12,108.4
2024-02-13,108.9
2024-02-14,109.4
2024-02-15,109.9
2024-02-16,110.4
2024-02-17,110.9
2024-02-18,111.4
2024-02-19,109.8
2024-02-20,110.3
2024-02-21,110.8
2024-02-22,111.3
2024-02-23,111.8
2024-02-24,112.3
2024-02-25,112.8
2024-02-26,111.2
2024-02-27,111.7
2024-02-28,112.2
2024-02-29,112.7
2024-03-01,113.2
2024-03-02,113.7
2024-03-03,114.2
2024-03-04,112.6
2024-03-05,113.1
2024-03-06,113.6
2024-03-07,114.1
2024-03-08,114.6
2024-03-09,115.1
2024-03-10,115.6
2024-03-11,114.0
2024-03-12,114.5
2024-03-13,115.0
2024-03-14,115.5
2024-03-15,116.0
2024-03-16,116.5
2024-03-17,117.0
2024-03-18,115.4
2024-03-19,115.9
2024-03-20,116.4
2024-03-21,116.9
2024-03-22,117.4
2024-03-23,117.9
2024-03-24,118.4
2024-03-25,116.8
2024-03-26,117.3
2024-03-27,117.8
2024-03-28,118.3
2024-03-29,118.8
2024-03-30,119.3
2024-03-31,119.8
2024-04-01,118.2
2024-04-02,118.7
2024-04-03,119.2
2024-04-04,119.7
2024-04-05,120.2
2024-04-06,120.7
2024-04-07,121.2
2024-04-08,119.6
2024-04-09,120.1
2024-04-10,120.6
2024-04-11,121.1
2024-04-12,121.6
2024-04-13,122.1
2024-04-14,122.6
2024-04-15,121.0
2024-04-16,121.5
2024-04-17,122.0
2024-04-18,122.5
2024-04-19,123.0
2024-04-20,123.5
2024-04-21,124.0
2024-04-22,122.4
2024-04-23,122.9
2024-04-24,123.4
2024-04-25,123.9
2024-04-26,124.4
2024-04-27,124.9
2024-04-28,125.4
2024-04-29,123.8
2024-04-30,124.3
2024-05-01,124.8
2024-05-02,125.3
2024-05-03,125.8
2024-05-04,126.3
2024-05-05,126.8
2024-05-06,125.2
2024-05-07,125.7
2024-05-08,126.2
2024-05-09,126.7
2024-05-10,127.2
2024-05-11,127.7
2024-05-12,128.2
2024-05-13,126.6
2024-05-14,127.1
2024-05-15,127.6
2024-05-16,128.1
2024-05-17,128.6
2024-05-18,129.1
2024-05-19,129.6
2024-05-20,128.0
2024-05-21,128.5
2024-05-22,129.0
2024-05-23,129.5
2024-05-24,130.0
2024-05-25,130.5
2024-05-26,131.0
2024-05-27,129.4
2024-05-28,129.9
2024-05-29,130.4
2024-05-30,130.9
2024-05-31,131.4
2024-06-01,131.9
2024-06-02,132.4
2024-06-03,130.8
2024-06-04,131.3
2024-06-05,131.8
2024-06-06,132.3
2024-06-07,132.8
2024-06-08,133.3
2024-06-09,133.8
2024-06-10,132.2
2024-06-11,132.7
2024-06-12,133.2
2024-06-13,133.7
2024-06-14,134.2
2024-06-15,134.7
2024-06-16,135.2
2024-06-17,133.6
2024-06-18,134.1
2024-06-19,134.6
2024-06-20,135.1
2024-06-21,135.6
2024-06-22,136.1
2024-06-23,136.6
2024-06-24,135.0
2024-06-25,135.5
2024-06-26,136.0
2024-06-27,136.5
2024-06-28,137.0
2024-06-29,137.5
2024-06-30,138.0
2024-07-01,136.4
2024-07-02,136.9
2024-07-03,137.4
2024-07-04,137.9
2024-07-05,138.4
2024-07-06,138.9
2024-07-07,139.4
2024-07-08,137.8
2024-07-09,138.3
2024-07-10,138.8
2024-07-11,139.3
2024-07-12,139.8
2024-07-13,140.3
2024-07-14,140.8
2024-07-15,139.2
2024-07-16,139.7
2024-07-17,140.2
2024-07-18,140.7
2024-07-19,141.2
2024-07-20,141.7
2024-07-21,142.2
2024-07-22,140.6
2024-07-23,141.1
2024-07-24,141.6
2024-07-25,142.1
2024-07-26,142.6
2024-07-27,143.1
2024-07-28,143.6
2024-07-29,142.0
2024-07-30,142.5
2024-07-31,143.0
2024-08-01,143.5
2024-08-02,144.0
2024-08-03,144.5
2024-08-04,145.0
2024-08-05,143.4
2024-08-06,143.9
2024-08-07,144.4
2024-08-08,144.9
2024-08-09,145.4
2024-08-10,145.9
2024-08-11,146.4
2024-08-12,144.8
2024-08-13,145.3
2024-08-14,145.8
2024-08-15,146.3
2024-08-16,146.8
2024-08-17,147.3
2024-08-18,147.8
2024-08-19,146.2
2024-08-20,146.7
2024-08-21,147.2
2024-08-22,147.7
2024-08-23,148.2
2024-08-24,148.7
2024-08-25,149.2
2024-08-26,147.6
2024-08-27,148.1
